model,assignment,cell_group,question_id,round,emotion,personality,passed,total,role,sentiment_negative
qwen2_5_1_5b,shared54,worst,3517,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3517,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3517,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3518,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3518,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3527,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3534,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3534,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3535,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3535,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3551,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3555,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3559,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3560,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3567,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3567,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3567,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3571,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3571,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3603,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3603,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3605,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3607,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3621,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3629,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3629,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3637,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3647,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3648,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3648,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3649,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3657,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3674,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3676,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3680,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3680,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3680,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3683,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3686,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3696,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3696,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3700,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3700,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3700,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3702,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3702,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3702,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3704,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3709,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3714,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3714,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3722,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3722,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3722,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3731,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3736,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3736,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3743,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3744,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3751,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3751,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3751,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3771,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3785,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3786,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3793,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3793,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc301_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc301_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc302_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc303_a,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc303_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc303_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc303_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc304_a,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc307_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc307_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc309_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc309_d,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc309_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc309_e,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc310_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc310_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc310_f,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc310_f,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc311_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc311_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc312_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc312_f,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc313_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc313_a,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc315_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc315_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc315_d,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc318_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc318_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc318_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc318_d,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc318_d,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc319_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc320_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc321_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc321_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc321_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc322_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc322_c,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc324_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc324_a,1,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc324_a,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc324_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc325_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc325_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc326_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc327_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc327_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc328_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc328_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc328_d,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc329_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc329_f,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc329_f,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc330_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc331_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc331_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc333_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc333_a,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc333_a,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc333_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc335_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc335_c,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc337_b,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc337_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc338_a,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc338_a,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc338_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc339_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc339_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc339_b,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc339_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc340_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc341_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc341_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc341_c,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc341_d,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc341_f,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc342_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc342_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc342_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc343_d,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc343_d,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc343_d,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc345_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc345_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc345_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc346_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc347_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc348_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc348_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc349_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc349_c,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc349_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc349_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc351_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc352_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc352_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc353_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc354_a,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc354_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc354_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc354_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc354_d,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc355_c,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc355_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc355_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc356_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc358_a,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc358_a,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc359_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc360_a,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc360_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc360_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc360_e,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc363_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc363_e,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc364_f,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc365_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc365_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc366_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc366_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc366_f,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc366_f,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc366_g,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc367_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc367_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc368_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc369_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc369_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc370_a,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc370_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc370_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc371_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc371_f,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc372_d,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc373_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc374_g,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc375_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc375_b,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc375_d,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,abc375_d,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc376_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc376_f,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc376_f,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc377_b,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc377_c,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc377_e,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc377_e,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,abc379_a,0,anger,LLL,12,282,reviewer,0
