model,assignment,writer1_profile,writer2_profile,supervisor_profile,bleu
mistral_small_3_24b_awq,mixed24,LLH_anger,LLL_sadness,LLL_sadness,7.013153846153846
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLH_anger,LLH_anger,6.969759062776305
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLH_anger,LLH_neutral,6.747523872679045
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLH_anger,LLL_sadness,6.814890804597701
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLH_neutral,LLH_anger,7.500315207780726
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLH_neutral,LLL_sadness,7.248340406719716
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLL_sadness,LLH_anger,6.879487179487179
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLL_sadness,LLH_neutral,6.934300618921308
mistral_small_3_24b_awq,mixed24,LLH_neutral,LLL_sadness,LLL_sadness,7.0544217506631295
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLH_anger,LLH_anger,7.026877099911583
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLH_anger,LLH_neutral,6.879425287356322
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLH_anger,LLL_sadness,6.93084350132626
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLH_neutral,LLH_anger,6.973168877099912
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLH_neutral,LLH_neutral,7.346604774535809
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLH_neutral,LLL_sadness,6.9027228116710875
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLL_sadness,LLH_anger,7.263986295313882
mistral_small_3_24b_awq,mixed24,LLL_sadness,LLL_sadness,LLH_neutral,7.345236958443855
qwen2.5-32b-awq,mixed24,HLH_neutral,HLH_neutral,HLL_fear,7.1484350132626
qwen2.5-32b-awq,mixed24,HLH_neutral,HLH_neutral,LHL_sadness,7.6755923961096375
qwen2.5-32b-awq,mixed24,HLH_neutral,HLL_fear,HLH_neutral,7.5769677276746235
qwen2.5-32b-awq,mixed24,HLH_neutral,HLL_fear,HLL_fear,7.047242263483643
qwen2.5-32b-awq,mixed24,HLH_neutral,HLL_fear,LHL_sadness,7.583349690539346
qwen2.5-32b-awq,mixed24,HLH_neutral,LHL_sadness,HLH_neutral,7.268224137931035
qwen2.5-32b-awq,mixed24,HLH_neutral,LHL_sadness,HLL_fear,7.326340406719717
qwen2.5-32b-awq,mixed24,HLH_neutral,LHL_sadness,LHL_sadness,7.42499115826702
qwen2.5-32b-awq,mixed24,HLL_fear,HLH_neutral,HLH_neutral,7.592641025641026
qwen2.5-32b-awq,mixed24,HLL_fear,HLH_neutral,HLL_fear,7.410717064544651
qwen2.5-32b-awq,mixed24,HLL_fear,HLH_neutral,LHL_sadness,7.327595048629532
qwen2.5-32b-awq,mixed24,HLL_fear,HLL_fear,HLH_neutral,7.4044938107869145
qwen2.5-32b-awq,mixed24,HLL_fear,HLL_fear,LHL_sadness,7.388119805481875
qwen2.5-32b-awq,mixed24,HLL_fear,LHL_sadness,HLH_neutral,7.593620689655173
qwen2.5-32b-awq,mixed24,HLL_fear,LHL_sadness,HLL_fear,7.000214854111406
qwen2.5-32b-awq,mixed24,HLL_fear,LHL_sadness,LHL_sadness,7.008731653404067
qwen2.5-32b-awq,mixed24,LHL_sadness,HLH_neutral,HLH_neutral,7.509578691423519
qwen2.5-32b-awq,mixed24,LHL_sadness,HLH_neutral,HLL_fear,7.338842175066313
qwen2.5-32b-awq,mixed24,LHL_sadness,HLH_neutral,LHL_sadness,7.69663483642794
qwen2.5-32b-awq,mixed24,LHL_sadness,HLL_fear,HLH_neutral,7.7087692307692315
qwen2.5-32b-awq,mixed24,LHL_sadness,HLL_fear,HLL_fear,7.188167992926614
qwen2.5-32b-awq,mixed24,LHL_sadness,HLL_fear,LHL_sadness,7.73142617152962
qwen2.5-32b-awq,mixed24,LHL_sadness,LHL_sadness,HLH_neutral,7.6877276746242265
qwen2.5-32b-awq,mixed24,LHL_sadness,LHL_sadness,HLL_fear,7.746452696728559
qwen2_5_1_5b,mixed24,HLL_anger,HLL_anger,HLL_happiness,6.473540671971707
qwen2_5_1_5b,mixed24,HLL_anger,HLL_anger,HLL_neutral,6.414150751547304
qwen2_5_1_5b,mixed24,HLL_anger,HLL_happiness,HLL_anger,6.2986777188328915
qwen2_5_1_5b,mixed24,HLL_anger,HLL_happiness,HLL_happiness,6.420019009725905
qwen2_5_1_5b,mixed24,HLL_anger,HLL_happiness,HLL_neutral,6.413453580901856
qwen2_5_1_5b,mixed24,HLL_anger,HLL_neutral,HLL_anger,6.380425729442972
qwen2_5_1_5b,mixed24,HLL_anger,HLL_neutral,HLL_happiness,6.393266136162688
qwen2_5_1_5b,mixed24,HLL_anger,HLL_neutral,HLL_neutral,6.52584350132626
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_anger,HLL_anger,6.407641467727674
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_anger,HLL_happiness,6.453574270557029
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_anger,HLL_neutral,6.57376967285588
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_happiness,HLL_anger,6.558098143236074
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_happiness,HLL_neutral,6.658889478337754
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_neutral,HLL_anger,6.285254199823166
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_neutral,HLL_happiness,6.600240937223696
qwen2_5_1_5b,mixed24,HLL_happiness,HLL_neutral,HLL_neutral,6.568129531388152
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_anger,HLL_anger,6.549114058355438
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_anger,HLL_happiness,6.511620247568523
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_anger,HLL_neutral,6.401770114942529
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_happiness,HLL_anger,6.567281609195402
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_happiness,HLL_happiness,6.6028196286472145
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_happiness,HLL_neutral,6.632411140583554
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_neutral,HLL_anger,6.5288483642793995
qwen2_5_1_5b,mixed24,HLL_neutral,HLL_neutral,HLL_happiness,6.695937223695845
